year,month,starthour,season,weekday,trips
2019,Jan,21,Winter,Wednesday,5170
2019,Jan,22,Winter,Friday,2774
2019,Jan,22,Winter,Monday,2150
2019,Jan,22,Winter,Saturday,2094
2019,Jan,22,Winter,Sunday,1814
2019,Jan,22,Winter,Thursday,3420
2019,Jan,22,Winter,Tuesday,3119
2019,Jan,22,Winter,Wednesday,3727
2019,Jan,23,Winter,Friday,2152
2019,Jan,23,Winter,Monday,1199
2019,Jan,23,Winter,Saturday,1687
2019,Jan,23,Winter,Sunday,1042
2019,Jan,23,Winter,Thursday,2045
2019,Jan,23,Winter,Tuesday,1476
2019,Jan,23,Winter,Wednesday,1920
2019,Feb,00,Winter,Friday,993
2019,Feb,00,Winter,Monday,656
2019,Feb,00,Winter,Saturday,1500
2019,Feb,00,Winter,Sunday,1373
2019,Feb,00,Winter,Thursday,548
2019,Feb,00,Winter,Tuesday,705
2019,Feb,00,Winter,Wednesday,588
2019,Feb,01,Winter,Friday,392
2019,Feb,01,Winter,Monday,352
2019,Feb,01,Winter,Saturday,957
2019,Feb,01,Winter,Sunday,940
2019,Feb,01,Winter,Thursday,266
2019,Feb,01,Winter,Tuesday,309
2019,Feb,01,Winter,Wednesday,289
2019,Feb,02,Winter,Friday,208
2019,Feb,02,Winter,Monday,191
2019,Feb,02,Winter,Saturday,575
2019,Feb,02,Winter,Sunday,539
2019,Feb,02,Winter,Thursday,132
2019,Feb,02,Winter,Tuesday,169
2019,Feb,02,Winter,Wednesday,183
2019,Feb,03,Winter,Friday,176
2019,Feb,03,Winter,Monday,115
2019,Feb,03,Winter,Saturday,352
2019,Feb,03,Winter,Sunday,268
2019,Feb,03,Winter,Thursday,109
2019,Feb,03,Winter,Tuesday,129
2019,Feb,03,Winter,Wednesday,103
2019,Feb,04,Winter,Friday,289
2019,Feb,04,Winter,Monday,269
2019,Feb,04,Winter,Saturday,266
2019,Feb,04,Winter,Sunday,243
2019,Feb,04,Winter,Thursday,270
2019,Feb,04,Winter,Tuesday,360
2019,Feb,04,Winter,Wednesday,293
2019,Feb,05,Winter,Friday,1274
2019,Feb,05,Winter,Monday,1195
2019,Feb,05,Winter,Saturday,294
2019,Feb,05,Winter,Sunday,200
2019,Feb,05,Winter,Thursday,1284
2019,Feb,05,Winter,Tuesday,1493
2019,Feb,05,Winter,Wednesday,1408
2019,Feb,06,Winter,Friday,3962
2019,Feb,06,Winter,Monday,3829
2019,Feb,06,Winter,Saturday,807
2019,Feb,06,Winter,Sunday,401
2019,Feb,06,Winter,Thursday,4368
2019,Feb,06,Winter,Tuesday,4936
2019,Feb,06,Winter,Wednesday,4772
2019,Feb,07,Winter,Friday,7618
2019,Feb,07,Winter,Monday,8107
2019,Feb,07,Winter,Saturday,1876
2019,Feb,07,Winter,Sunday,973
