year,month,age,usertype,count,mean
2019,Jan,16,Customer,2,877.2416666666667
2019,Jan,17,Customer,93,24.422222222222207
2019,Jan,17,Subscriber,528,11.848611111111117
2019,Jan,18,Customer,161,37.14006211180125
2019,Jan,18,Subscriber,1429,9.69273384651271
2019,Jan,19,Customer,475,80.56445614035074
2019,Jan,19,Subscriber,2914,12.188686799359393
2019,Jan,20,Customer,597,26.698911222780577
2019,Jan,20,Subscriber,3704,13.656672966162718
2019,Jan,21,Customer,634,26.33738170347004
2019,Jan,21,Subscriber,4404,11.663075234635185
2019,Jan,22,Customer,1013,54.30700888450149
2019,Jan,22,Subscriber,5680,13.165539906103303
2019,Jan,23,Customer,1024,43.47810872395822
2019,Jan,23,Subscriber,9095,14.538775884185442
2019,Jan,24,Customer,1183,24.10040856579318
2019,Jan,24,Subscriber,17153,11.20794807516667
2019,Jan,25,Customer,1252,26.845034611288618
2019,Jan,25,Subscriber,22987,11.898042371775354
2019,Jan,26,Customer,1426,20.760741000467505
2019,Jan,26,Subscriber,29802,11.006604702145399
2019,Jan,27,Customer,1301,26.06770433000257
2019,Jan,27,Subscriber,32928,11.578457543731876
2019,Jan,28,Customer,1458,23.739677640603563
2019,Jan,28,Subscriber,34649,13.390100724407706
2019,Jan,29,Customer,1251,25.465853983479878
2019,Jan,29,Subscriber,37353,12.077394943735055
2019,Jan,30,Customer,1071,60.500855897914704
2019,Jan,30,Subscriber,36195,11.256284938066921
2019,Jan,31,Customer,1219,23.461088323762656
2019,Jan,31,Subscriber,36404,12.391024337984854
2019,Jan,32,Customer,964,20.437897648686004
2019,Jan,32,Subscriber,33392,11.252709231752071
2019,Jan,33,Customer,645,20.291705426356575
2019,Jan,33,Subscriber,31080,11.558874946374905
2019,Jan,34,Customer,562,27.260824436536172
2019,Jan,34,Subscriber,31509,11.502660615485548
2019,Jan,35,Customer,703,36.09815078236131
2019,Jan,35,Subscriber,30465,11.055445593303759
2019,Jan,36,Customer,804,18.828171641791045
2019,Jan,36,Subscriber,28386,11.505098170459622
2019,Jan,37,Customer,413,23.014568200161424
2019,Jan,37,Subscriber,26979,11.09421834266151
2019,Jan,38,Customer,398,37.851758793969864
2019,Jan,38,Subscriber,25334,11.402827557169545
2019,Jan,39,Customer,336,32.23129960317458
2019,Jan,39,Subscriber,25064,12.733846020853365
2019,Jan,40,Customer,289,30.048558246828136
2019,Jan,40,Subscriber,22995,11.168115532362123
2019,Jan,41,Customer,401,25.102576891105596
2019,Jan,41,Subscriber,20246,12.403613059369755
2019,Jan,42,Customer,260,21.614807692307696
2019,Jan,42,Subscriber,19576,11.879135165508803
2019,Jan,43,Customer,321,19.66640706126688
2019,Jan,43,Subscriber,19863,11.547867056000225
2019,Jan,44,Customer,205,29.858292682926827
2019,Jan,44,Subscriber,19163,11.846074031553895
2019,Jan,45,Customer,190,24.502105263157908
2019,Jan,45,Subscriber,18168,12.34791574930286
2019,Jan,46,Customer,199,32.8320770519263
2019,Jan,46,Subscriber,17641,11.875537101071346
2019,Jan,47,Customer,159,23.634171907756798
2019,Jan,47,Subscriber,18745,12.751129190006209
2019,Jan,48,Customer,194,38.27697594501718
2019,Jan,48,Subscriber,17667,11.67937963434654
2019,Jan,49,Customer,160,86.27333333333331
2019,Jan,49,Subscriber,19801,12.35380031311559
2019,Jan,50,Customer,17633,43.49426265146769
2019,Jan,50,Subscriber,27709,12.591738544636518
2019,Jan,51,Customer,168,22.187996031746042
2019,Jan,51,Subscriber,16336,11.939140548481959
2019,Jan,52,Customer,71,32.02065727699531
2019,Jan,52,Subscriber,16467,10.585914252747918
2019,Jan,53,Customer,184,24.81557971014493
2019,Jan,53,Subscriber,15174,12.123598479855977
2019,Jan,54,Customer,137,20.7265206812652
2019,Jan,54,Subscriber,15048,12.709418748892427
2019,Jan,55,Customer,72,34.11435185185185
2019,Jan,55,Subscriber,15217,11.289908216687461
2019,Jan,56,Customer,134,19.89888059701492
2019,Jan,56,Subscriber,14123,11.439225613066125
2019,Jan,57,Customer,31,29.60215053763441
2019,Jan,57,Subscriber,13724,11.853208491207635
2019,Jan,58,Customer,45,29.55444444444445
2019,Jan,58,Subscriber,11418,13.352652244993376
2019,Jan,59,Customer,84,24.37817460317461
2019,Jan,59,Subscriber,11617,12.881796792057598
2019,Jan,60,Customer,17,20.13529411764706
2019,Jan,60,Subscriber,9621,11.909823996119638
2019,Jan,61,Customer,76,20.62149122807018
2019,Jan,61,Subscriber,8994,12.232189978504207
2019,Jan,62,Customer,47,21.82872340425532
2019,Jan,62,Subscriber,8132,13.005812428266967
2019,Jan,63,Customer,37,24.685135135135138
2019,Jan,63,Subscriber,7682,12.161077844311363
2019,Jan,64,Customer,25,35.92733333333333
2019,Jan,64,Subscriber,5613,14.184957539046264
2019,Jan,65,Customer,12,22.559722222222224
2019,Jan,65,Subscriber,5458,12.21870037864911
2019,Jan,66,Customer,4,1334.4791666666665
2019,Jan,66,Subscriber,5344,10.594314496007973
2019,Jan,67,Subscriber,2900,10.642477011494243
2019,Jan,68,Customer,5,35.07333333333334
2019,Jan,68,Subscriber,2894,12.787969361898144
2019,Jan,69,Customer,7,52.90238095238095
2019,Jan,69,Subscriber,2143,11.532244517032217
2019,Jan,70,Subscriber,1501,12.248401065956019
2019,Jan,71,Customer,6,20.62777777777778
2019,Jan,71,Subscriber,1526,11.242442114460445
2019,Jan,72,Customer,1,92.2
2019,Jan,72,Subscriber,1350,13.258506172839468
2019,Jan,73,Subscriber,1296,11.603819444444438
2019,Jan,74,Customer,6,26.67222222222222
2019,Jan,74,Subscriber,566,9.074499411071857
2019,Jan,75,Subscriber,461,11.632610267534352
2019,Jan,76,Subscriber,546,11.380158730158723
2019,Jan,77,Customer,5,19.46
2019,Jan,77,Subscriber,633,10.873275408109532
2019,Jan,78,Subscriber,478,17.174442119944207
2019,Jan,79,Subscriber,200,8.346500000000004
2019,Jan,80,Subscriber,89,42.78146067415732
2019,Jan,81,Subscriber,150,10.43933333333333
2019,Jan,82,Subscriber,214,15.72297507788162
2019,Jan,83,Subscriber,114,7.738304093567252
2019,Jan,84,Subscriber,39,29.029059829059825
